Comment Link,text,id,CommentScore,userid,reputation,posttypeid,creationdate,commenttypeid
http://stackoverflow.com/posts/comments/36454124,This should be the accepted answer.,36454124,0,1281736,848,2,2014-05-18 05:17:03,5
http://stackoverflow.com/posts/comments/36453740,"This should be the accepted answer!! Well done, never knew about this!",36453740,0,1046013,786,2,2014-05-18 04:33:43,5
http://stackoverflow.com/posts/comments/36453626,please accept answer if its helping,36453626,0,1603380,3034,2,2014-05-18 04:23:12,5
http://stackoverflow.com/posts/comments/36453572,thank you. you need to accept it otherwise it will show as unanswered,36453572,0,880181,177,2,2014-05-18 04:17:07,5
http://stackoverflow.com/posts/comments/36453269,Extremely Awesome! You Rock! thank you and love u so much.,36453269,0,520848,627,2,2014-05-18 03:42:48,5
http://stackoverflow.com/posts/comments/36453241,Feel free to accept the answer.,36453241,0,204927,5983,2,2014-05-18 03:39:26,5
http://stackoverflow.com/posts/comments/36453216,thanks i browsed over those links. you helped me a lot!,36453216,0,3284402,362,2,2014-05-18 03:37:02,5
http://stackoverflow.com/posts/comments/36452895,@user3438308 Glad to help. Please mark the question as accepted if it solved your problem :),36452895,0,82788,2275,2,2014-05-18 02:58:25,5
http://stackoverflow.com/posts/comments/36452270,"@user3648593, thanks. I hope you accept my answer :-)",36452270,0,1253807,2019,2,2014-05-18 01:49:38,5
http://stackoverflow.com/posts/comments/36452263,"If this is the correct answer, you should be able to mark it as the answer.",36452263,0,1454123,471,2,2014-05-18 01:49:05,5
http://stackoverflow.com/posts/comments/36452254,"I got this to work, thanks so much it's been bugging me all day! I would up vote you if I could!",36452254,0,3648593,1,2,2014-05-18 01:48:05,5
http://stackoverflow.com/posts/comments/36452136,"I had this exact same issue, thanks a bunch for your write up!",36452136,0,895558,680,1,2014-05-18 01:36:01,5
http://stackoverflow.com/posts/comments/36452112,@user3532547 What causes an NPE? Erm calling a method on a null pointer.....,36452112,0,968969,14801,2,2014-05-18 01:33:03,5
http://stackoverflow.com/posts/comments/36452080,"Nice one, thank you.",36452080,0,3566132,1,2,2014-05-18 01:29:17,5
http://stackoverflow.com/posts/comments/36452064,@oshikryu thank you! This is a lot easier than messing around in nano.,36452064,0,3648629,1,1,2014-05-18 01:26:41,5
http://stackoverflow.com/posts/comments/36451918,@elclanrs ohh that was easy thank you!,36451918,0,3648762,1,1,2014-05-18 01:11:30,5
http://stackoverflow.com/posts/comments/36451805,Feel free to accept an answer which helped you :),36451805,0,3113477,3119,2,2014-05-18 01:00:37,5
http://stackoverflow.com/posts/comments/36451800,Great! Glad it worked out for you. Please accept the answer.,36451800,0,3558931,124,2,2014-05-18 01:00:05,5
http://stackoverflow.com/posts/comments/36451797,"Very late reply, but yes, it's clear now, thank you :)",36451797,0,3120842,85,2,2014-05-18 00:59:44,5
http://stackoverflow.com/posts/comments/36451693,"thank you two, i try it :)",36451693,0,3090339,66,2,2014-05-18 00:49:00,5
http://stackoverflow.com/posts/comments/36451619,"You're welcome. Don't forget to hint ""accept answer"" button if your problem is solved.",36451619,0,1544001,103,2,2014-05-18 00:40:26,5
http://stackoverflow.com/posts/comments/36451606,"Great, thank you.",36451606,0,2778413,12,2,2014-05-18 00:39:16,5
http://stackoverflow.com/posts/comments/36451569,"awesome, thankyou!",36451569,0,3648723,16,2,2014-05-18 00:35:16,5
http://stackoverflow.com/posts/comments/36451460,This worked thank you.,36451460,0,3598176,8,2,2014-05-18 00:23:02,5
http://stackoverflow.com/posts/comments/36451459,yes... thanks for your help :),36451459,0,1147861,51,1,2014-05-18 00:23:00,5
http://stackoverflow.com/posts/comments/36451201,Interesting approach with HDFS thank you all for contribution and Ben for answer!!,36451201,0,1764078,98,1,2014-05-17 23:57:44,5
http://stackoverflow.com/posts/comments/36451098,the accepted answer is the same reason it won't work for what you are doing here,36451098,0,177800,30769,1,2014-05-17 23:47:59,5
http://stackoverflow.com/posts/comments/36450977,"Ahh, thanks.....",36450977,0,3521680,6,2,2014-05-17 23:37:47,5
