Comment Link,text,id,CommentScore,userid,reputation,posttypeid,creationdate,Flag Type
"36454122","You did not. It may be useful if you upload war somebody so we can take a look at it.","36454122","0","1639556","2052","1","2014-05-18 05:16:49","1"
"36454109","`<?php query_posts('cat_name=album'); ?>` -1. Use `WP_Query`","36454109","0","1908141","606","2","2014-05-18 05:14:41","1"
"36454105","Please type `pwd` and `ls` and post the output from that in your question.","36454105","0","28128","20806","1","2014-05-18 05:13:54","1"
"36454101","I want the output as array[0] => [{""a"" => ""10""}, {""Test"" => ""60""}]","36454101","0","1478137","447","2","2014-05-18 05:13:42","1"
"36454098","That's an amazing ""school"" isn't it...","36454098","0","1078583","3524","2","2014-05-18 05:13:34","1"
"36454085","Does valgrind work as you wish it to, in the command line?","36454085","0","2682142","18386","1","2014-05-18 05:12:22","1"
"36454080","so how's the schema for my example? do you mean that's not possible?","36454080","0","2008343","3","2","2014-05-18 05:12:03","1"
"36454075","@GolezTrol, I have edited my question. Please check.","36454075","0","1337075","486","1","2014-05-18 05:11:33","1"
"36454063","How could i treat all values as strings? Is that possible?","36454063","0","1883256","27","2","2014-05-18 05:10:28","1"
"36454039","@Christian: works pretty fine for me.","36454039","0","41956","41294","2","2014-05-18 05:07:57","1"
"36454031","Why would you think that should work?","36454031","0","1210329","35629","1","2014-05-18 05:07:26","1"
"36454015","You have to read about working with files in c++.","36454015","0","3451749","59","1","2014-05-18 05:05:40","1"
"36453988","Hmmm.... I don't think that's the case. I think I have a problem with rounding $total_lists.","36453988","0","2096179","34","2","2014-05-18 05:02:47","1"
"36453983","If the requirement is to hide the listview, why don't you just set its visibility to gone?","36453983","0","3307720","141","1","2014-05-18 05:02:16","1"
"36453970","i use ur first code, but i use post<?php echo $count;?> without space.
Thanks so much","36453970","0","2487283","29","2","2014-05-18 05:00:59","1"
"36453967","@CBroe: I wonder why [this](http://jsfiddle.net/mUBjc/2/) doesn't work.","36453967","0","648340","431","1","2014-05-18 05:00:34","1"
"36453955","Okay sure thanks for ur help..","36453955","0","3643082","4","1","2014-05-18 04:59:18","1"
"36453950","Why don't you want top change the subclasses, are there dozens of them or something?","36453950","0","3307720","141","2","2014-05-18 04:58:37","1"
"36453945","this is the simplest solution, and doesn't involve adding extra repos.","36453945","0","1890833","948","2","2014-05-18 04:58:17","1"
"36453939","`s/prefix/method call syntax/`, perhaps.","36453939","0","1296806","13634","1","2014-05-18 04:57:36","1"
"36453935","`f();` is invalid, you can't have non-declarations outside of functions.","36453935","0","1505939","6836","1","2014-05-18 04:56:38","1"
"36453932","@Laggel Sorry, but I can't explain what you're seeing. Maybe see Emilio and aromero comments above","36453932","0","7748","6772","2","2014-05-18 04:56:29","1"
"36453931","How do you allow the user to edit and update the config file?","36453931","0","3369006","186","1","2014-05-18 04:56:18","1"
"36453923","What does the error say?","36453923","0","3307720","141","1","2014-05-18 04:55:35","1"
"36453922","Here is the duplicate http://stackoverflow.com/q/22998977/1296806","36453922","0","1296806","13634","1","2014-05-18 04:55:30","1"
"36453917","Update -- That was it, works perfectly.","36453917","0","548799","34","2","2014-05-18 04:55:03","1"
"36453916","Upvoting this compact solution. Been enjoying a cruise through your regex answers... Nice work! :)","36453916","0","1078583","3524","2","2014-05-18 04:54:57","1"
"36453898","Impossible due to hardware. Bluetooth is a hardware feature, not just software.","36453898","0","1631193","17131","1","2014-05-18 04:52:36","1"
"36453894","@user1904598: Test this rule in a new browser.","36453894","0","548225","150623","2","2014-05-18 04:52:25","1"
"36453892","Yes it's a native method","36453892","0","1702154","6","1","2014-05-18 04:52:04","1"
"36453855","Ok but what is line no 153 in Play.java ???","36453855","0","3168859","1819","1","2014-05-18 04:47:32","1"
"36453852","Are you targeting the correct android version?","36453852","0","3307720","141","1","2014-05-18 04:47:00","1"
"36453848","@Daij-Djan: Yes, If I can't skip this pdf I will, but they gave me pdf, and need sqlite...","36453848","0","1615838","755","1","2014-05-18 04:46:32","1"
"36453843","Where are you looking for the file? Have you tried using an absolute path?","36453843","0","438154","66289","1","2014-05-18 04:46:09","1"
"36453832","okay .. but how can i resize through sql..  i want to stores orignal image","36453832","0","2181743","27","1","2014-05-18 04:44:33","1"
"36453811","Do you have any client-server solution ready to use? This task cannot be solved using clients only.","36453811","0","1627055","8951","1","2014-05-18 04:42:00","1"
"36453807","Where would there be an example of using a circular FIFO?","36453807","0","3469906","1","2","2014-05-18 04:41:07","1"
"36453800","Hi Kirill. Thanks for these amazing notes! How did the auto scaling work?","36453800","0","141484","93","2","2014-05-18 04:40:19","1"
"36453796","Why? And if so, why not just do what `send_confirmation_instructions` does?","36453796","0","760389","2255","2","2014-05-18 04:39:58","1"
"36453781","@Hot that is internally loading class","36453781","0","260990","103779","2","2014-05-18 04:38:47","1"
"36453760","Works like a charm! Thanks!","36453760","0","1160216","116","2","2014-05-18 04:35:30","1"
"36453757","Cab you please describe your method and way to save all the content on SDCARD?","36453757","0","1376496","846","2","2014-05-18 04:35:21","1"
"36453748","@JimBalter You may think it is a good practice, which may introduce bugs.","36453748","0","386188","2809","2","2014-05-18 04:34:31","1"
"36453743","heads is an array with objects with an image atribute and I said what ram head is","36453743","0","3236691","18","1","2014-05-18 04:34:00","1"
"36453717","When I add .username to the userToDisplay then it causes the crash.","36453717","0","2977529","16","2","2014-05-18 04:31:49","1"
"36453698","Here is the project link http://webscarlets.in/projects/2014/responsive/angular/xml/index2.html","36453698","0","1294896","66","1","2014-05-18 04:30:24","1"
"36453695","OK sorry I'm only familiar with Core Data on iOS. Did JShapiro's answer help?","36453695","0","1883707","380","1","2014-05-18 04:30:07","1"
"36453690","Do I need to do something when creating the PFObject?","36453690","0","2977529","16","2","2014-05-18 04:29:28","1"
"36453674","@ Kevin Kuei: I wonder why!?","36453674","0","500096","702","2","2014-05-18 04:28:11","1"
"36453669","@roippi Thanks, I did not know that. Updated my answer.","36453669","0","3503502","647","2","2014-05-18 04:27:36","1"
"36453666","anybody have any idea about that ?","36453666","0","2318085","1","1","2014-05-18 04:27:28","1"
"36453662","Hey, how did you solved this ?","36453662","0","500096","702","1","2014-05-18 04:27:11","1"
"36453654","am using ant in my application.","36453654","0","3435052","3","2","2014-05-18 04:26:21","1"
"36453652","It depends, what are you going to do with single tap and double tap?","36453652","0","150400","689","2","2014-05-18 04:26:18","1"
"36453647","Is this a homework? Have you tried anything?","36453647","0","220700","2900","1","2014-05-18 04:25:53","1"
"36453643","I still want clear answer and not deep;i understand that x11 library is used to interact with os.","36453643","0","2751962","11","2","2014-05-18 04:25:40","1"
"36453634","Gracias, mate. Will check on that and refactor my code if need be.","36453634","0","1204024","10","2","2014-05-18 04:24:29","1"
